QFilter types (string):
9 :: if no filter is used,
0 :: if Q0 is used for all layers,
01 :: if Q0 is used for the first layer and Q1 is used for the other layers,
01x :: if Q0 is used for the first layer and Q0+Q1 is used for the other layers,
1x :: if Q0+Q1 is used for all layers 
('QFilter, GVal, DVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on rochester
*****************************************
Thu Sep 24 13:45:00 2020
(1, 'ham3_102', 3, 11, 20, 9, 0.0, 1.8182)
(2, 'con1_216', 9, 415, 1516, 1101, 0.6, 3.653)
(3, 'mod10_171', 5, 108, 288, 180, 0.04, 2.6667)
(4, 'one-two-three-v0_98', 5, 65, 308, 243, 0.03, 4.7385)
(5, 'one-two-three-v3_101', 5, 32, 83, 51, 0.01, 2.5938)
(6, 'hwb7_59', 8, 10681, 32635, 21954, 12.6, 3.0554)
(7, '4gt12-v1_89', 6, 100, 286, 186, 0.08, 2.86)
(8, 'sys6-v0_111', 10, 98, 287, 189, 0.25, 2.9286)
(9, 'hwb8_113', 9, 30372, 98859, 68487, 67.42, 3.2549)
(10, 'decod24-v0_38', 4, 23, 50, 27, 0.01, 2.1739)
(11, 'mlp4_245', 16, 8232, 30447, 22215, 102.92, 3.6986)
(12, 'alu-v1_29', 5, 17, 38, 21, 0.01, 2.2353)
(13, 'alu-v1_28', 5, 18, 39, 21, 0.01, 2.1667)
(14, '0410184_169', 14, 104, 437, 333, 0.43, 4.2019)
(15, '4gt4-v0_80', 6, 79, 217, 138, 0.03, 2.7468)
(16, 'rd53_131', 7, 200, 755, 555, 0.14, 3.775)
(17, 'rd53_130', 7, 448, 1552, 1104, 0.4, 3.4643)
(18, '9symml_195', 11, 15232, 56086, 40854, 36.3, 3.6821)
(19, 'ex-1_166', 3, 9, 18, 9, 0.0, 2.0)
(20, 'cm82a_208', 8, 283, 844, 561, 0.21, 2.9823)
(21, 'sym9_193', 11, 15232, 56086, 40854, 36.08, 3.6821)
(22, 'sym9_148', 10, 9408, 34440, 25032, 23.04, 3.6607)
(23, 'rd84_253', 12, 5960, 20714, 14754, 17.31, 3.4755)
(24, 'cm85a_209', 14, 4986, 17769, 12783, 12.66, 3.5638)
(25, 'ising_model_13', 13, 120, 120, 0, 0.0, 1.0)
(26, '4gt5_77', 5, 58, 148, 90, 0.03, 2.5517)
(27, '4gt5_76', 5, 46, 118, 72, 0.02, 2.5652)
(28, 'adr4_197', 13, 1498, 5629, 4131, 6.4, 3.7577)
(29, 'urf2_277', 8, 10066, 33808, 23742, 14.22, 3.3586)
(30, 'cycle10_2_110', 12, 2648, 9950, 7302, 3.89, 3.7576)
(31, '4gt4-v0_79', 6, 105, 282, 177, 0.07, 2.6857)
(32, '4gt4-v0_78', 6, 109, 295, 186, 0.06, 2.7064)
(33, 'rd32-v1_68', 4, 16, 34, 18, 0.0, 2.125)
(34, 'mod8-10_178', 6, 152, 497, 345, 0.09, 3.2697)
(35, 'urf1_278', 9, 26692, 103234, 76542, 59.58, 3.8676)
(36, 'one-two-three-v2_100', 5, 32, 83, 51, 0.01, 2.5938)
(37, 'z4_268', 11, 1343, 5354, 4011, 3.57, 3.9866)
(38, '4gt4-v0_73', 6, 179, 506, 327, 0.1, 2.8268)
(39, '4gt4-v0_72', 6, 113, 299, 186, 0.05, 2.646)
(40, 'alu-v2_33', 5, 17, 35, 18, 0.01, 2.0588)
(41, 'alu-v2_32', 5, 72, 174, 102, 0.03, 2.4167)
(42, 'hwb4_49', 5, 107, 245, 138, 0.05, 2.2897)
(43, 'mod5adder_127', 6, 239, 899, 660, 0.15, 3.7615)
(44, 'misex1_241', 15, 2100, 7689, 5589, 7.4, 3.6614)
(45, 'square_root_7', 15, 3089, 12929, 9840, 9.98, 4.1855)
(46, 'mod5d2_64', 5, 25, 58, 33, 0.01, 2.32)
(47, '4mod5-bdd_287', 7, 31, 73, 42, 0.01, 2.3548)
(48, 'rd32-v0_66', 4, 16, 34, 18, 0.0, 2.125)
(49, 'ex1_226', 6, 5, 11, 6, 0.0, 2.2)
(50, 'mod5d1_63', 5, 13, 31, 18, 0.01, 2.3846)
(51, 'decod24-enable_126', 6, 149, 581, 432, 0.07, 3.8993)
(52, 'alu-bdd_288', 7, 38, 161, 123, 0.02, 4.2368)
(53, 'sao2_257', 14, 16864, 63598, 46734, 136.24, 3.7712)
(54, 'mod10_176', 5, 78, 279, 201, 0.04, 3.5769)
(55, '4gt13-v1_93', 5, 30, 111, 81, 0.01, 3.7)
(56, 'majority_239', 7, 267, 1104, 837, 0.17, 4.1348)
(57, 'sf_276', 6, 336, 1482, 1146, 0.18, 4.4107)
(58, 'C17_204', 7, 205, 574, 369, 0.14, 2.8)
(59, '4mod7-v0_94', 5, 72, 303, 231, 0.04, 4.2083)
(60, 'decod24-v3_45', 5, 64, 325, 261, 0.03, 5.0781)
(61, '4gt13_92', 5, 30, 129, 99, 0.01, 4.3)
(62, '4mod7-v1_96', 5, 72, 183, 111, 0.04, 2.5417)
(63, 'max46_240', 10, 11844, 41025, 29181, 22.97, 3.4638)
(64, 'alu-v0_26', 5, 38, 113, 75, 0.02, 2.9737)
(65, 'alu-v0_27', 5, 17, 38, 21, 0.01, 2.2353)
(66, 'co14_215', 15, 7840, 30235, 22395, 34.79, 3.8565)
(67, 'ex3_229', 6, 175, 610, 435, 0.1, 3.4857)
(68, 'root_255', 13, 7493, 26930, 19437, 37.68, 3.594)
