QFilter types (string):
9 :: if no filter is used,
0 :: if Q0 is used for all layers,
01 :: if Q0 is used for the first layer and Q1 is used for the other layers,
01x :: if Q0 is used for the first layer and Q0+Q1 is used for the other layers,
1x :: if Q0+Q1 is used for all layers 
('QFilter, GVal, DVal, SIZE, initial_mapping  =', '01y', False, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 2, 0.8, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on sycamore
*****************************************
Thu Sep 24 13:23:14 2020
(1, 'ham3_102', 3, 11, 20, 9, 0.0, 1.8182)
(2, 'con1_216', 9, 415, 1207, 792, 1.76, 2.9084)
(3, 'mod10_171', 5, 108, 267, 159, 0.07, 2.4722)
(4, 'one-two-three-v0_98', 5, 65, 179, 114, 0.07, 2.7538)
(5, 'one-two-three-v3_101', 5, 32, 71, 39, 0.02, 2.2188)
(6, 'hwb7_59', 8, 10681, 26590, 15909, 14.07, 2.4895)
(7, '4gt12-v1_89', 6, 100, 259, 159, 0.15, 2.59)
(8, 'sys6-v0_111', 10, 98, 236, 138, 0.49, 2.4082)
(9, 'hwb8_113', 9, 30372, 77019, 46647, 46.44, 2.5359)
(10, 'decod24-v0_38', 4, 23, 50, 27, 0.02, 2.1739)
(11, 'mlp4_245', 16, 8232, 22365, 14133, 25.6, 2.7168)
(12, 'alu-v1_29', 5, 17, 41, 24, 0.04, 2.4118)
(13, 'alu-v1_28', 5, 18, 42, 24, 0.03, 2.3333)
(14, '0410184_169', 14, 104, 269, 165, 0.26, 2.5865)
(15, '4gt4-v0_80', 6, 79, 190, 111, 0.05, 2.4051)
(16, 'rd53_131', 7, 200, 611, 411, 0.27, 3.055)
(17, 'rd53_130', 7, 448, 1234, 786, 0.64, 2.7545)
(18, '9symml_195', 11, 15232, 40876, 25644, 28.13, 2.6836)
(19, 'ex-1_166', 3, 9, 18, 9, 0.0, 2.0)
(20, 'cm82a_208', 8, 283, 697, 414, 0.48, 2.4629)
(21, 'sym9_193', 11, 15232, 40876, 25644, 28.19, 2.6836)
(22, 'sym9_148', 10, 9408, 24603, 15195, 13.01, 2.6151)
(23, 'rd84_253', 12, 5960, 15863, 9903, 18.77, 2.6616)
(24, 'cm85a_209', 14, 4986, 13470, 8484, 7.89, 2.7016)
(25, 'ising_model_13', 13, 120, 120, 0, 0.0, 1.0)
(26, '4gt5_77', 5, 58, 136, 78, 0.06, 2.3448)
(27, '4gt5_76', 5, 46, 106, 60, 0.02, 2.3043)
(28, 'adr4_197', 13, 1498, 4099, 2601, 3.77, 2.7363)
(29, 'urf2_277', 8, 10066, 25315, 15249, 21.49, 2.5149)
(30, 'cycle10_2_110', 12, 2648, 7328, 4680, 4.07, 2.7674)
(31, '4gt4-v0_79', 6, 105, 240, 135, 0.09, 2.2857)
(32, '4gt4-v0_78', 6, 109, 244, 135, 0.08, 2.2385)
(33, 'rd32-v1_68', 4, 16, 34, 18, 0.01, 2.125)
(34, 'mod8-10_178', 6, 152, 377, 225, 0.13, 2.4803)
(35, 'urf1_278', 9, 26692, 67426, 40734, 50.45, 2.5261)
(36, 'one-two-three-v2_100', 5, 32, 77, 45, 0.02, 2.4062)
(37, 'z4_268', 11, 1343, 3962, 2619, 3.96, 2.9501)
(38, '4gt4-v0_73', 6, 179, 428, 249, 0.14, 2.3911)
(39, '4gt4-v0_72', 6, 113, 266, 153, 0.23, 2.354)
(40, 'alu-v2_33', 5, 17, 38, 21, 0.02, 2.2353)
(41, 'alu-v2_32', 5, 72, 168, 96, 0.05, 2.3333)
(42, 'hwb4_49', 5, 107, 251, 144, 0.13, 2.3458)
(43, 'mod5adder_127', 6, 239, 683, 444, 0.34, 2.8577)
(44, 'misex1_241', 15, 2100, 5616, 3516, 3.96, 2.6743)
(45, 'square_root_7', 15, 3089, 8486, 5397, 11.79, 2.7472)
(46, 'mod5d2_64', 5, 25, 61, 36, 0.02, 2.44)
(47, '4mod5-bdd_287', 7, 31, 67, 36, 0.02, 2.1613)
(48, 'rd32-v0_66', 4, 16, 34, 18, 0.01, 2.125)
(49, 'ex1_226', 6, 5, 8, 3, 0.0, 1.6)
(50, 'mod5d1_63', 5, 13, 31, 18, 0.01, 2.3846)
(51, 'decod24-enable_126', 6, 149, 422, 273, 0.11, 2.8322)
(52, 'alu-bdd_288', 7, 38, 98, 60, 0.02, 2.5789)
(53, 'sao2_257', 14, 16864, 45613, 28749, 63.96, 2.7048)
(54, 'mod10_176', 5, 78, 288, 210, 0.08, 3.6923)
(55, '4gt13-v1_93', 5, 30, 102, 72, 0.03, 3.4)
(56, 'majority_239', 7, 267, 717, 450, 0.33, 2.6854)
(57, 'sf_276', 6, 336, 957, 621, 0.48, 2.8482)
(58, 'C17_204', 7, 205, 532, 327, 0.23, 2.5951)
(59, '4mod7-v0_94', 5, 72, 258, 186, 0.1, 3.5833)
(60, 'decod24-v3_45', 5, 64, 244, 180, 0.12, 3.8125)
(61, '4gt13_92', 5, 30, 114, 84, 0.04, 3.8)
(62, '4mod7-v1_96', 5, 72, 162, 90, 0.04, 2.25)
(63, 'max46_240', 10, 11844, 31152, 19308, 26.89, 2.6302)
(64, 'alu-v0_26', 5, 38, 92, 54, 0.02, 2.4211)
(65, 'alu-v0_27', 5, 17, 41, 24, 0.04, 2.4118)
(66, 'co14_215', 15, 7840, 22669, 14829, 45.72, 2.8915)
(67, 'ex3_229', 6, 175, 571, 396, 0.25, 3.2629)
(68, 'root_255', 13, 7493, 20138, 12645, 25.02, 2.6876)
(69, '4gt12-v0_86', 6, 116, 266, 150, 0.15, 2.2931)
(70, '4gt12-v0_87', 6, 112, 253, 141, 0.14, 2.2589)
(71, 'hwb6_56', 7, 2952, 7398, 4446, 3.25, 2.5061)
(72, '4_49_16', 5, 99, 315, 216, 0.13, 3.1818)
(73, 'decod24-v1_41', 5, 38, 131, 93, 0.04, 3.4474)
(74, 'aj-e11_165', 5, 69, 150, 81, 0.06, 2.1739)
(75, 'rd84_142', 15, 154, 385, 231, 0.89, 2.5)
(76, '4gt11_84', 4, 9, 18, 9, 0.0, 2.0)
(77, 'miller_11', 3, 23, 50, 27, 0.01, 2.1739)
(78, 'alu-v2_30', 6, 223, 583, 360, 0.17, 2.6143)
(79, 'alu-v2_31', 5, 198, 498, 300, 0.18, 2.5152)
(80, '4mod5-v1_24', 5, 16, 52, 36, 0.02, 3.25)
(81, 'urf2_152', 8, 35210, 86612, 51402, 57.06, 2.4599)
(82, '4mod5-v0_19', 5, 16, 34, 18, 0.01, 2.125)
(83, '4mod5-v0_18', 5, 31, 73, 42, 0.02, 2.3548)
(84, 'ising_model_10', 10, 90, 90, 0, 0.0, 1.0)
(85, '4gt5_75', 5, 38, 86, 48, 0.06, 2.2632)
(86, 'ex2_227', 7, 275, 755, 480, 0.49, 2.7455)
(87, 'graycode6_47', 6, 5, 5, 0, 0.0, 1.0)
(88, 'radd_250', 13, 1405, 4027, 2622, 3.64, 2.8662)
(89, 'mini-alu_167', 5, 126, 297, 171, 0.1, 2.3571)
(90, 'dist_223', 13, 16624, 44332, 27708, 57.53, 2.6667)
(91, 'qft_16', 16, 240, 489, 249, 10.25, 2.0375)
(92, 'rd32_270', 5, 36, 90, 54, 0.03, 2.5)
(93, 'decod24-bdd_294', 6, 32, 71, 39, 0.02, 2.2188)
(94, 'rd53_133', 7, 256, 703, 447, 0.47, 2.7461)
(95, 'alu-v4_37', 5, 18, 42, 24, 0.06, 2.3333)
(96, 'alu-v4_36', 5, 51, 168, 117, 0.05, 3.2941)
(97, 'ham7_104', 7, 149, 413, 264, 0.25, 2.7718)
(98, 'cnt3-5_179', 16, 85, 196, 111, 3.12, 2.3059)
(99, 'rd53_138', 8, 60, 144, 84, 0.22, 2.4)
(100, 'decod24-v2_43', 4, 22, 49, 27, 0.01, 2.2273)
(101, '4gt12-v0_88', 6, 86, 221, 135, 0.07, 2.5698)
(102, 'one-two-three-v1_99', 5, 59, 206, 147, 0.06, 3.4915)
(103, 'rd73_252', 10, 2319, 6072, 3753, 5.98, 2.6184)
(104, '3_17_13', 3, 17, 35, 18, 0.01, 2.0588)
(105, 'f2_232', 8, 525, 1506, 981, 0.69, 2.8686)
(106, 'qft_10', 10, 90, 159, 69, 1.64, 1.7667)
(107, 'rd53_135', 7, 134, 347, 213, 0.4, 2.5896)
(108, 'one-two-three-v0_97', 5, 128, 392, 264, 0.12, 3.0625)
(109, 'rd53_251', 8, 564, 1545, 981, 0.56, 2.7394)
(110, 'sf_274', 6, 336, 1182, 846, 0.45, 3.5179)
(111, 'sym10_262', 12, 28084, 75553, 47469, 66.39, 2.6903)
(112, 'sqn_258', 10, 4459, 11902, 7443, 8.03, 2.6692)
(113, 'hwb5_53', 6, 598, 1459, 861, 0.56, 2.4398)
(114, '4gt10-v1_81', 5, 66, 249, 183, 0.1, 3.7727)
(115, '4gt13_91', 5, 49, 112, 63, 0.03, 2.2857)
(116, 'mod5mils_65', 5, 16, 34, 18, 0.01, 2.125)
(117, '4gt13_90', 5, 53, 119, 66, 0.03, 2.2453)
(118, 'urf5_280', 9, 23764, 59704, 35940, 51.45, 2.5124)
(119, '4gt4-v1_74', 6, 119, 287, 168, 0.09, 2.4118)
(120, 'alu-v3_35', 5, 18, 42, 24, 0.04, 2.3333)
(121, 'alu-v3_34', 5, 24, 54, 30, 0.02, 2.25)
(122, 'mod8-10_177', 6, 196, 472, 276, 0.16, 2.4082)
(123, 'clip_206', 14, 14772, 41445, 26673, 48.94, 2.8056)
