QFilter types (string):
9 :: if no filter is used,
0 :: if Q0 is used for all layers,
01 :: if Q0 is used for the first layer and Q1 is used for the other layers,
01x :: if Q0 is used for the first layer and Q0+Q1 is used for the other layers,
1x :: if Q0+Q1 is used for all layers 
('QFilter, GVal, DVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on sycamore
*****************************************
Thu Sep 24 14:05:09 2020
(1, 'ham3_102', 3, 11, 20, 9, 0.0, 1.8182)
(2, 'con1_216', 9, 415, 1171, 756, 2.48, 2.8217)
(3, 'mod10_171', 5, 108, 303, 195, 0.16, 2.8056)
(4, 'one-two-three-v0_98', 5, 65, 263, 198, 0.09, 4.0462)
(5, 'one-two-three-v3_101', 5, 32, 71, 39, 0.04, 2.2188)
(6, 'hwb7_59', 8, 10681, 27313, 16632, 37.55, 2.5572)
(7, '4gt12-v1_89', 6, 100, 244, 144, 0.15, 2.44)
(8, 'sys6-v0_111', 10, 98, 251, 153, 1.15, 2.5612)
(9, 'hwb8_113', 9, 30372, 85416, 55044, 216.06, 2.8123)
(10, 'decod24-v0_38', 4, 23, 50, 27, 0.02, 2.1739)
(11, 'mlp4_245', 16, 8232, 23625, 15393, 502.2, 2.8699)
(12, 'alu-v1_29', 5, 17, 41, 24, 0.04, 2.4118)
(13, 'alu-v1_28', 5, 18, 42, 24, 0.04, 2.3333)
(14, '0410184_169', 14, 104, 314, 210, 1.36, 3.0192)
(15, '4gt4-v0_80', 6, 79, 193, 114, 0.1, 2.443)
(16, 'rd53_131', 7, 200, 668, 468, 0.38, 3.34)
(17, 'rd53_130', 7, 448, 1498, 1050, 1.6, 3.3438)
(18, '9symml_195', 11, 15232, 42700, 27468, 141.99, 2.8033)
(19, 'ex-1_166', 3, 9, 18, 9, 0.0, 2.0)
(20, 'cm82a_208', 8, 283, 694, 411, 0.74, 2.4523)
(21, 'sym9_193', 11, 15232, 42700, 27468, 142.35, 2.8033)
(22, 'sym9_148', 10, 9408, 26547, 17139, 81.15, 2.8217)
(23, 'rd84_253', 12, 5960, 17342, 11382, 94.62, 2.9097)
(24, 'cm85a_209', 14, 4986, 14778, 9792, 44.23, 2.9639)
(25, 'ising_model_13', 13, 120, 120, 0, 0.0, 1.0)
(26, '4gt5_77', 5, 58, 142, 84, 0.17, 2.4483)
(27, '4gt5_76', 5, 46, 112, 66, 0.1, 2.4348)
(28, 'adr4_197', 13, 1498, 4507, 3009, 29.66, 3.0087)
(29, 'urf2_277', 8, 10066, 26065, 15999, 47.98, 2.5894)
(30, 'cycle10_2_110', 12, 2648, 7586, 4938, 12.24, 2.8648)
(31, '4gt4-v0_79', 6, 105, 261, 156, 0.13, 2.4857)
(32, '4gt4-v0_78', 6, 109, 271, 162, 0.15, 2.4862)
(33, 'rd32-v1_68', 4, 16, 34, 18, 0.01, 2.125)
(34, 'mod8-10_178', 6, 152, 359, 207, 0.26, 2.3618)
(35, 'urf1_278', 9, 26692, 70174, 43482, 161.86, 2.629)
(36, 'one-two-three-v2_100', 5, 32, 77, 45, 0.03, 2.4062)
(37, 'z4_268', 11, 1343, 4031, 2688, 11.12, 3.0015)
(38, '4gt4-v0_73', 6, 179, 440, 261, 0.31, 2.4581)
(39, '4gt4-v0_72', 6, 113, 275, 162, 0.3, 2.4336)
(40, 'alu-v2_33', 5, 17, 38, 21, 0.05, 2.2353)
(41, 'alu-v2_32', 5, 72, 168, 96, 0.11, 2.3333)
(42, 'hwb4_49', 5, 107, 254, 147, 0.1, 2.3738)
(43, 'mod5adder_127', 6, 239, 830, 591, 0.31, 3.4728)
(44, 'misex1_241', 15, 2100, 6312, 4212, 20.62, 3.0057)
(45, 'square_root_7', 15, 3089, 10184, 7095, 58.49, 3.2969)
(46, 'mod5d2_64', 5, 25, 61, 36, 0.02, 2.44)
(47, '4mod5-bdd_287', 7, 31, 70, 39, 0.03, 2.2581)
(48, 'rd32-v0_66', 4, 16, 34, 18, 0.01, 2.125)
(49, 'ex1_226', 6, 5, 8, 3, 0.0, 1.6)
(50, 'mod5d1_63', 5, 13, 31, 18, 0.01, 2.3846)
(51, 'decod24-enable_126', 6, 149, 518, 369, 0.2, 3.4765)
(52, 'alu-bdd_288', 7, 38, 122, 84, 0.03, 3.2105)
(53, 'sao2_257', 14, 16864, 48742, 31878, 731.42, 2.8903)
(54, 'mod10_176', 5, 78, 216, 138, 0.05, 2.7692)
(55, '4gt13-v1_93', 5, 30, 120, 90, 0.03, 4.0)
(56, 'majority_239', 7, 267, 834, 567, 0.43, 3.1236)
(57, 'sf_276', 6, 336, 1125, 789, 0.43, 3.3482)
(58, 'C17_204', 7, 205, 565, 360, 0.42, 2.7561)
(59, '4mod7-v0_94', 5, 72, 240, 168, 0.09, 3.3333)
