QFilter types (string):
9 :: if no filter is used,
0 :: if Q0 is used for all layers,
01 :: if Q0 is used for the first layer and Q1 is used for the other layers,
01x :: if Q0 is used for the first layer and Q0+Q1 is used for the other layers,
1x :: if Q0+Q1 is used for all layers 
('QFilter, GVal, DVal, SIZE, initial_mapping  =', '01', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01 filter and top initial mapping for all circuits on tokyo
*****************************************
Thu Sep 24 10:29:25 2020
(1, 'ham3_102', 3, 11, 11, 0, 0.0, 1.0)
(2, 'con1_216', 9, 415, 643, 228, 1.3, 1.5494)
(3, 'mod10_171', 5, 108, 135, 27, 0.14, 1.25)
(4, 'one-two-three-v0_98', 5, 65, 83, 18, 0.03, 1.2769)
(5, 'one-two-three-v3_101', 5, 32, 41, 9, 0.01, 1.2812)
(6, 'hwb7_59', 8, 10681, 14488, 3807, 19.48, 1.3564)
(7, '4gt12-v1_89', 6, 100, 127, 27, 0.08, 1.27)
(8, 'sys6-v0_111', 10, 98, 164, 66, 0.7, 1.6735)
(9, 'hwb8_113', 9, 30372, 41103, 10731, 94.95, 1.3533)
(10, 'decod24-v0_38', 4, 23, 23, 0, 0.0, 1.0)
(11, 'mlp4_245', 16, 8232, 11712, 3480, 178.02, 1.4227)
(12, 'alu-v1_29', 5, 17, 26, 9, 0.02, 1.5294)
(13, 'alu-v1_28', 5, 18, 27, 9, 0.03, 1.5)
(14, '0410184_169', 14, 104, 110, 6, 0.02, 1.0577)
(15, '4gt4-v0_80', 6, 79, 139, 60, 0.13, 1.7595)
(16, 'rd53_131', 7, 200, 260, 60, 0.26, 1.3)
(17, 'rd53_130', 7, 448, 691, 243, 0.72, 1.5424)
(18, '9symml_195', 11, 15232, 20809, 5577, 39.68, 1.3661)
(19, 'ex-1_166', 3, 9, 9, 0, 0.0, 1.0)
(20, 'cm82a_208', 8, 283, 400, 117, 0.53, 1.4134)
(21, 'sym9_193', 11, 15232, 20809, 5577, 40.98, 1.3661)
(22, 'sym9_148', 10, 9408, 11229, 1821, 18.43, 1.1936)
(23, 'rd84_253', 12, 5960, 9002, 3042, 32.59, 1.5104)
(24, 'cm85a_209', 14, 4986, 6861, 1875, 17.12, 1.3761)
(25, 'ising_model_13', 13, 120, 120, 0, 0.0, 1.0)
(26, '4gt5_77', 5, 58, 67, 9, 0.04, 1.1552)
(27, '4gt5_76', 5, 46, 61, 15, 0.07, 1.3261)
(28, 'adr4_197', 13, 1498, 2161, 663, 17.11, 1.4426)
(29, 'urf2_277', 8, 10066, 16252, 6186, 53.48, 1.6145)
(30, 'cycle10_2_110', 12, 2648, 3776, 1128, 6.26, 1.426)
(31, '4gt4-v0_79', 6, 105, 117, 12, 0.06, 1.1143)
(32, '4gt4-v0_78', 6, 109, 124, 15, 0.07, 1.1376)
(33, 'rd32-v1_68', 4, 16, 16, 0, 0.0, 1.0)
(34, 'mod8-10_178', 6, 152, 212, 60, 0.12, 1.3947)
(35, 'urf1_278', 9, 26692, 40984, 14292, 188.85, 1.5354)
(36, 'one-two-three-v2_100', 5, 32, 41, 9, 0.01, 1.2812)
(37, 'z4_268', 11, 1343, 1979, 636, 8.93, 1.4736)
(38, '4gt4-v0_73', 6, 179, 269, 90, 0.23, 1.5028)
(39, '4gt4-v0_72', 6, 113, 167, 54, 0.18, 1.4779)
(40, 'alu-v2_33', 5, 17, 23, 6, 0.01, 1.3529)
(41, 'alu-v2_32', 5, 72, 87, 15, 0.04, 1.2083)
(42, 'hwb4_49', 5, 107, 143, 36, 0.11, 1.3364)
