QFilter types (string):
9 :: if no filter is used,
0 :: if Q0 is used for all layers,
01 :: if Q0 is used for the first layer and Q1 is used for the other layers,
01x :: if Q0 is used for the first layer and Q0+Q1 is used for the other layers,
1x :: if Q0+Q1 is used for all layers 
('QFilter, GVal, DVal, SIZE, initial_mapping  =', '01x', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01x filter and top initial mapping for all circuits on tokyo
*****************************************
Thu Sep 24 11:03:16 2020
(1, 'ham3_102', 3, 11, 11, 0, 0.0, 1.0)
(2, 'con1_216', 9, 415, 598, 183, 2.76, 1.441)
(3, 'mod10_171', 5, 108, 135, 27, 0.56, 1.25)
(4, 'one-two-three-v0_98', 5, 65, 80, 15, 0.09, 1.2308)
(5, 'one-two-three-v3_101', 5, 32, 41, 9, 0.03, 1.2812)
(6, 'hwb7_59', 8, 10681, 14125, 3444, 80.99, 1.3224)
(7, '4gt12-v1_89', 6, 100, 130, 30, 0.42, 1.3)
(8, 'sys6-v0_111', 10, 98, 158, 60, 1.49, 1.6122)
(9, 'hwb8_113', 9, 30372, 39522, 9150, 481.35, 1.3013)
(10, 'decod24-v0_38', 4, 23, 23, 0, 0.0, 1.0)
(11, 'mlp4_245', 16, 8232, 11721, 3489, 747.81, 1.4238)
(12, 'alu-v1_29', 5, 17, 26, 9, 0.04, 1.5294)
(13, 'alu-v1_28', 5, 18, 27, 9, 0.02, 1.5)
(14, '0410184_169', 14, 104, 110, 6, 0.04, 1.0577)
(15, '4gt4-v0_80', 6, 79, 100, 21, 0.05, 1.2658)
(16, 'rd53_131', 7, 200, 260, 60, 0.35, 1.3)
(17, 'rd53_130', 7, 448, 616, 168, 1.82, 1.375)
(18, '9symml_195', 11, 15232, 19717, 4485, 224.66, 1.2944)
(19, 'ex-1_166', 3, 9, 9, 0, 0.0, 1.0)
(20, 'cm82a_208', 8, 283, 373, 90, 0.46, 1.318)
(21, 'sym9_193', 11, 15232, 19717, 4485, 217.62, 1.2944)
(22, 'sym9_148', 10, 9408, 10782, 1374, 54.91, 1.146)
(23, 'rd84_253', 12, 5960, 8402, 2442, 209.52, 1.4097)
(24, 'cm85a_209', 14, 4986, 6561, 1575, 72.52, 1.3159)
(25, 'ising_model_13', 13, 120, 120, 0, 0.0, 1.0)
(26, '4gt5_77', 5, 58, 67, 9, 0.33, 1.1552)
(27, '4gt5_76', 5, 46, 61, 15, 0.11, 1.3261)
(28, 'adr4_197', 13, 1498, 2149, 651, 58.89, 1.4346)
(29, 'urf2_277', 8, 10066, 15874, 5808, 137.71, 1.577)
(30, 'cycle10_2_110', 12, 2648, 3821, 1173, 38.69, 1.443)
(31, '4gt4-v0_79', 6, 105, 114, 9, 0.23, 1.0857)
(32, '4gt4-v0_78', 6, 109, 121, 12, 0.22, 1.1101)
(33, 'rd32-v1_68', 4, 16, 16, 0, 0.0, 1.0)
(34, 'mod8-10_178', 6, 152, 200, 48, 0.25, 1.3158)
(35, 'urf1_278', 9, 26692, 40204, 13512, 597.7, 1.5062)
(36, 'one-two-three-v2_100', 5, 32, 41, 9, 0.02, 1.2812)
(37, 'z4_268', 11, 1343, 1841, 498, 42.78, 1.3708)
(38, '4gt4-v0_73', 6, 179, 266, 87, 0.77, 1.486)
(39, '4gt4-v0_72', 6, 113, 149, 36, 0.45, 1.3186)
(40, 'alu-v2_33', 5, 17, 23, 6, 0.03, 1.3529)
(41, 'alu-v2_32', 5, 72, 87, 15, 0.09, 1.2083)
(42, 'hwb4_49', 5, 107, 140, 33, 0.16, 1.3084)
(43, 'mod5adder_127', 6, 239, 311, 72, 1.54, 1.3013)
(44, 'misex1_241', 15, 2100, 2751, 651, 25.05, 1.31)
(45, 'square_root_7', 15, 3089, 4319, 1230, 386.56, 1.3982)
(46, 'mod5d2_64', 5, 25, 40, 15, 0.05, 1.6)
(47, '4mod5-bdd_287', 7, 31, 40, 9, 0.01, 1.2903)
(48, 'rd32-v0_66', 4, 16, 16, 0, 0.0, 1.0)
(49, 'ex1_226', 6, 5, 5, 0, 0.0, 1.0)
(50, 'mod5d1_63', 5, 13, 13, 0, 0.0, 1.0)
(51, 'decod24-enable_126', 6, 149, 215, 66, 0.6, 1.443)
(52, 'alu-bdd_288', 7, 38, 56, 18, 0.21, 1.4737)
(53, 'sao2_257', 14, 16864, 22468, 5604, 833.52, 1.3323)
(54, 'mod10_176', 5, 78, 93, 15, 0.08, 1.1923)
(55, '4gt13-v1_93', 5, 30, 30, 0, 0.0, 1.0)
(56, 'majority_239', 7, 267, 357, 90, 0.78, 1.3371)
(57, 'sf_276', 6, 336, 372, 36, 0.46, 1.1071)
(58, 'C17_204', 7, 205, 307, 102, 0.63, 1.4976)
(59, '4mod7-v0_94', 5, 72, 84, 12, 0.21, 1.1667)
(60, 'decod24-v3_45', 5, 64, 79, 15, 0.44, 1.2344)
(61, '4gt13_92', 5, 30, 30, 0, 0.0, 1.0)
(62, '4mod7-v1_96', 5, 72, 99, 27, 0.07, 1.375)
(63, 'max46_240', 10, 11844, 15561, 3717, 129.25, 1.3138)
(64, 'alu-v0_26', 5, 38, 50, 12, 0.03, 1.3158)
(65, 'alu-v0_27', 5, 17, 26, 9, 0.04, 1.5294)
