QFilter types (string):
9 :: if no filter is used,
0 :: if Q0 is used for all layers,
01 :: if Q0 is used for the first layer and Q1 is used for the other layers,
01x :: if Q0 is used for the first layer and Q0+Q1 is used for the other layers,
1x :: if Q0+Q1 is used for all layers 
('QFilter, GVal, DVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on tokyo
*****************************************
Thu Sep 24 08:17:05 2020
(1, 'ham3_102', 3, 11, 11, 0, 0.0, 1.0)
(2, 'con1_216', 9, 415, 589, 174, 1.79, 1.4193)
(3, 'mod10_171', 5, 108, 150, 42, 0.23, 1.3889)
(4, 'one-two-three-v0_98', 5, 65, 80, 15, 0.04, 1.2308)
(5, 'one-two-three-v3_101', 5, 32, 41, 9, 0.01, 1.2812)
(6, 'hwb7_59', 8, 10681, 13930, 3249, 53.65, 1.3042)
(7, '4gt12-v1_89', 6, 100, 127, 27, 0.28, 1.27)
(8, 'sys6-v0_111', 10, 98, 146, 48, 0.91, 1.4898)
(9, 'hwb8_113', 9, 30372, 39684, 9312, 365.41, 1.3066)
(10, 'decod24-v0_38', 4, 23, 23, 0, 0.0, 1.0)
(11, 'mlp4_245', 16, 8232, 11952, 3720, 531.98, 1.4519)
(12, 'alu-v1_29', 5, 17, 23, 6, 0.01, 1.3529)
(13, 'alu-v1_28', 5, 18, 24, 6, 0.01, 1.3333)
(14, '0410184_169', 14, 104, 110, 6, 0.03, 1.0577)
(15, '4gt4-v0_80', 6, 79, 97, 18, 0.04, 1.2278)
(16, 'rd53_131', 7, 200, 251, 51, 0.46, 1.255)
(17, 'rd53_130', 7, 448, 622, 174, 1.46, 1.3884)
(18, '9symml_195', 11, 15232, 19678, 4446, 190.04, 1.2919)
(19, 'ex-1_166', 3, 9, 9, 0, 0.0, 1.0)
(20, 'cm82a_208', 8, 283, 361, 78, 0.34, 1.2756)
(21, 'sym9_193', 11, 15232, 19678, 4446, 190.07, 1.2919)
(22, 'sym9_148', 10, 9408, 10776, 1368, 54.65, 1.1454)
(23, 'rd84_253', 12, 5960, 8429, 2469, 148.3, 1.4143)
(24, 'cm85a_209', 14, 4986, 6531, 1545, 93.94, 1.3099)
(25, 'ising_model_13', 13, 120, 120, 0, 0.0, 1.0)
(26, '4gt5_77', 5, 58, 67, 9, 0.19, 1.1552)
(27, '4gt5_76', 5, 46, 58, 12, 0.05, 1.2609)
(28, 'adr4_197', 13, 1498, 2212, 714, 43.9, 1.4766)
(29, 'urf2_277', 8, 10066, 15475, 5409, 96.48, 1.5374)
(30, 'cycle10_2_110', 12, 2648, 3716, 1068, 64.2, 1.4033)
(31, '4gt4-v0_79', 6, 105, 114, 9, 0.15, 1.0857)
